transaction_amount,transaction_type,old_balance,transaction_frequency,account_age_days,hour,device_change,location_change,is_fraud
23463.404498842956,TRANSFER,364999.15549498517,4,1227,16,0,0,0
150506.07154587604,TRANSFER,92255.99779935578,4,1485,7,0,0,1
65837.28467727247,CASH_OUT,173319.8471849431,6,582,0,0,0,0
45647.127688797664,PAYMENT,331640.3184289091,2,136,16,0,0,0
8481.243523117315,TRANSFER,241044.67226223997,5,1581,7,0,0,0
8479.814595730259,CASH_IN,369285.5193174469,3,1233,12,0,1,0
2991.9384304340338,CASH_OUT,480603.9506114299,3,809,1,0,0,0
100561.54322399698,PAYMENT,58273.343857598746,3,300,16,0,0,0
45954.107681363224,PAYMENT,354783.85819903045,0,242,6,0,1,0
61562.50308522952,PAYMENT,115172.07781605727,0,386,15,0,0,0
1039.9653999569312,CASH_IN,207238.36370378462,1,1586,16,0,0,0
175177.8737579156,PAYMENT,16431.362897569914,3,1974,3,0,0,1
89321.47716773376,CASH_IN,67953.69114634948,4,750,9,0,0,0
11934.38126244735,TRANSFER,159888.64452444983,3,997,8,0,0,0
10033.949437483168,TRANSFER,170992.90264399248,2,955,9,0,0,0
10130.571141612852,CASH_OUT,449792.60823104787,3,1854,18,0,0,0
18137.686473023856,CASH_OUT,370906.4546332575,1,991,5,0,0,0
37196.39154304272,CASH_OUT,486091.48409352056,1,1854,11,0,0,0
28276.853339016834,CASH_OUT,299535.75516762026,1,1809,10,0,0,0
17211.149627697076,CASH_OUT,120856.86604565899,3,1209,14,0,1,0
47318.54369498994,CASH_OUT,163827.51496082143,3,1143,19,0,0,0
7511.726436366934,CASH_OUT,159917.96164598354,3,838,13,0,1,0
17275.775600120112,CASH_IN,163247.1638316258,5,1950,11,0,0,0
22813.860911042353,CASH_OUT,336482.08655590785,5,1116,18,0,0,0
30446.73439298875,PAYMENT,265403.9640452081,5,1472,20,0,0,0
76896.8005515456,CASH_OUT,192712.08904332216,3,1485,11,0,0,0
11136.793106434514,CASH_IN,74544.8843643583,1,520,6,0,0,0
36101.45775165639,CASH_IN,11069.581471072954,2,1092,4,0,0,0
44875.236065488025,PAYMENT,109417.3387938463,2,177,14,1,0,0
2378.1924878204272,PAYMENT,53735.70198434063,0,1898,15,0,0,0
46766.651032480506,CASH_OUT,392722.5154261197,2,508,10,0,0,0
9348.062598870822,CASH_IN,56248.97890694269,2,195,19,0,0,0
3363.196543965212,CASH_IN,362114.1186534181,1,52,16,0,0,0
148684.38967534655,CASH_IN,192829.34488804132,2,937,5,0,0,0
168531.5171230586,PAYMENT,36689.19487188799,2,1315,19,0,0,0
82616.57864064383,TRANSFER,406365.0247157929,4,757,21,0,1,0
18164.392998437914,CASH_IN,289815.2851183067,1,1151,5,0,0,0
5138.865750125312,CASH_OUT,117880.75643178653,7,1534,11,0,0,0
57637.538154933085,TRANSFER,447340.587166334,5,548,19,0,0,0
29004.542129269917,CASH_OUT,22629.15693527573,2,1872,7,0,0,0
6507.611697722432,CASH_IN,100909.80409888145,1,299,19,0,0,0
34177.36140670751,CASH_OUT,376023.4639029305,2,1793,4,0,0,0
1749.6860721739542,CASH_OUT,354688.96515494457,4,45,20,0,0,0
